[2026-06-11T06:34:35.317Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/examples/jsm/environments/RoomEnvironment.js → 200 (347ms, ?B)
[2026-06-11T06:35:53.309Z] GET file:///C:/Users/32538/AppData/Local/Temp/gauntrix-fluid.html → 200 (?ms, 83644B)
[2026-06-11T06:35:53.310Z] GET https://fonts.googleapis.com/css2?family=Instrument+Serif:ital@0;1&family=Inter:wght@300;400;500;600&family=JetBrains+Mono:wght@400;600&display=swap → 200 (15ms, 16649B)
[2026-06-11T06:35:53.310Z] GET https://assets.lemonsqueezy.com/lemon.js → 200 (56ms, 3861B)
[2026-06-11T06:35:53.311Z] GET https://gc.zgo.at/count.js → 200 (55ms, 9213B)
[2026-06-11T06:35:53.311Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js → 200 (56ms, 72214B)
[2026-06-11T06:35:53.311Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js → 200 (55ms, 43380B)
[2026-06-11T06:35:53.363Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (4ms, 48256B)
[2026-06-11T06:35:53.366Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (1ms, 22128B)
[2026-06-11T06:35:53.366Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (2ms, 31432B)
[2026-06-11T06:35:53.366Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizBRFtNs2ka5fXjeivQ4LroWlx-6zUTjg.woff2 → 200 (2ms, 21032B)
[2026-06-11T06:35:53.736Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/build/three.module.js → 200 (29ms, ?B)
[2026-06-11T06:35:53.736Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/examples/jsm/objects/MarchingCubes.js → 200 (18ms, 38025B)
[2026-06-11T06:35:53.736Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/examples/jsm/environments/RoomEnvironment.js → 200 (18ms, 3735B)
[2026-06-11T06:42:30.003Z] GET file:///C:/Users/32538/AppData/Local/Temp/gauntrix-fluid.html?t75=1 → 200 (?ms, 83644B)
[2026-06-11T06:42:30.006Z] GET https://fonts.googleapis.com/css2?family=Instrument+Serif:ital@0;1&family=Inter:wght@300;400;500;600&family=JetBrains+Mono:wght@400;600&display=swap → 200 (1ms, 16649B)
[2026-06-11T06:42:30.006Z] GET https://assets.lemonsqueezy.com/lemon.js → 200 (1ms, 3861B)
[2026-06-11T06:42:30.006Z] GET https://gc.zgo.at/count.js → 200 (3ms, 9213B)
[2026-06-11T06:42:30.006Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js → 200 (3ms, 72214B)
[2026-06-11T06:42:30.006Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js → 200 (1ms, 43380B)
[2026-06-11T06:42:30.011Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, 48256B)
[2026-06-11T06:42:30.011Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (1ms, 22128B)
[2026-06-11T06:42:30.011Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (218ms, ?B)
[2026-06-11T06:42:30.011Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizBRFtNs2ka5fXjeivQ4LroWlx-6zUTjg.woff2 → 200 (218ms, ?B)
[2026-06-11T06:42:30.012Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/build/three.module.js → 200 (282ms, ?B)
[2026-06-11T06:42:30.012Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/examples/jsm/objects/MarchingCubes.js → 200 (237ms, ?B)
[2026-06-11T06:42:30.012Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/examples/jsm/environments/RoomEnvironment.js → 200 (238ms, ?B)
